record_id,vedecky_nazev,cesky_nazev,status_v_CR,cast_rostliny,domena,poddomena,status_znalosti,aplikovatelnost_v_CR,typicke_lokality_v_CR,obdobi_ziskani,fenologicka_faze,zpusob_pripravy_nebo_vyuziti,cilovy_efekt,chutovy_profil,vonny_profil,palivovy_potencial,hlavni_rizika,kontraindikace_interakce,legalita_poznamka_CR,dukaznost_typ,dukaznost_skore,zdroj_id_1,zdroj_id_2,poznamka,record_numeric_id,is_trvanlive_1m_plus,is_jadro_bezne_1m_plus,domena_slug,status_znalosti_slug,aplikovatelnost_slug,dukaznost_rank,ma_druhy_zdroj,obdobi_mesic_od,obdobi_mesic_do,cast_rostliny_skupina,cast_rostliny_je_kombinovana,poddomena_kategorie,poddomena_kategorie_confidence,status_contains_puvodni,status_contains_zdomacnely,status_contains_pestovany,status_contains_zplanujici,status_contains_invazni,status_cetnost
R065,Corylus avellana,líska obecná,"původní, běžná",ořech,potrava,čerstvý ořech / sušení / pasta / mléko,mainstream,vysoká,"lesní okraje, křoviny, meze, zahrady",VIII–X,zralé ořechy po opadávání nebo snadném uvolnění,Sušit a skladovat v suchu; lze jíst celé nebo zpracovat.,Energeticky bohatý lesní plod s vysokou univerzalitou.,"oříškový, sladký",slabý,neaplikovatelné,Alergie na ořechy; plísně při špatném skladování.,Alergici musí vynechat.,Běžně možné.,česká etnobotanika,B,S01,,Jedna z nejpraktičtějších lesních potravních surovin.,65,False,False,potrava,mainstream,vysoka,4,False,8,10,semena_a_orisky,False,suseni_skladovani,medium,True,False,False,False,False,bezny
R066,Malus domestica,jabloň domácí,"pěstovaná, velmi běžná",plod,potrava a pití,čerstvé plody / mošt / sušení / pečení,mainstream,vysoká,"sady, zahrady, staré aleje, vesnické zahrady",VIII–XI,zralý plod,"čerstvá konzumace, mošt, křížaly, pečení, pyré","výživa, skladovatelný podzimní zdroj, široká kuchyňská použitelnost",sladký až sladkokyselý,"ovocný, slabší až střední",neaplikovatelné,Jádřince a semena nekonzumovat ve větším množství; u spadlých plodů pozor na hnilobu a vosy.,U citlivých osob možné zažívací obtíže při vyšší kyselosti; jinak běžná potravina.,Sběr jen z vlastních nebo volně přístupných stromů; pozor na postřiky.,česká ovocnářská kontinuita + běžná kuchyňská praxe,B,S27,,Doplňuje dosud podreprezentovanou vrstvu běžného českého ovoce.,66,False,False,potrava_a_piti,mainstream,vysoka,4,False,8,11,plodova_cast,False,suseni_skladovani,medium,False,False,True,False,False,velmi_bezny
R067,Malus domestica,jabloň domácí,"pěstovaná, velmi běžná",plod,pití,mošt / cider / ocet,méně známé,vysoká,"sady, zahrady, staré aleje",IX–XI,plně zralý plod,"lisování na mošt, spontánní nebo řízené kvašení, výroba octa","nápojový zdroj, uchování úrody, kyselé kuchyňské použití","sladkokyselý, tříslovitost dle odrůdy","ovocný, lehce kvašený",neaplikovatelné,Kvašené produkty vyžadují hygienu; čerstvý nefiltrovaný mošt se rychle kazí.,U kyselých produktů opatrnost při citlivém žaludku; alkoholické produkty mimo běžnou potravní vrstvu.,Legální z vlastních zdrojů; u veřejných stromů řešit vlastnictví.,česká ovocnářská kontinuita + historická praxe,B,S27,,Spíše tradiční zpracování úrody než léčebné použití.,67,False,False,piti,mene_zname,vysoka,4,False,9,11,plodova_cast,False,ocet,medium,False,False,True,False,False,velmi_bezny
R068,Pyrus communis,hrušeň obecná,"pěstovaná, běžná",plod,potrava a pití,čerstvé plody / sušení / kompot,mainstream,vysoká,"sady, zahrady, staré vysokokmenné stromy, polní cesty",VIII–X,zralý plod,"čerstvá konzumace, sušené hrušky, kompoty, pečení","výživa, sladká konzervace, tradiční podzimní ovoce","sladký, měkký až máslový",jemně ovocný,neaplikovatelné,Přezrálé plody rychle kvasí a lákají hmyz; některé staré odrůdy jsou tvrdé až po odležení.,Běžná potravina; při průmyslovém ošetření pozor na zbytky postřiků.,Sběr obdobně jako u jabloní podle vlastnictví a přístupu.,česká ovocnářská kontinuita + běžná kuchyňská praxe,B,S27,,Dobře doplňuje vrstvu tradičního sadového ovoce.,68,False,False,potrava_a_piti,mainstream,vysoka,4,False,8,10,plodova_cast,False,zavarenina,medium,False,False,True,False,False,bezny
R069,Pyrus communis,hrušeň obecná,"pěstovaná, běžná",plod,pití,mošt / perry / odvar ze sušených plodů,méně známé,vysoká,"sady, zahrady, staré sady",IX–XI,plně zralý až odležený plod,"lisování, sušení, vaření sušených plodů do zimních nápojů",nápojové využití a delší uchování úrody,"sladký, jemně kořenitý","ovocný, medový",neaplikovatelné,Rychlá zkáza přezrálých plodů; fermentace vyžaduje hygienu.,U alkoholických produktů běžná omezení; jinak bez zásadních interakcí.,Sběr podle vlastnictví; vhodnější z vlastních stromů.,česká ovocnářská kontinuita + historická praxe,B,S27,,"Méně připomínané než jablečný mošt, ale historicky praktické.",69,False,False,piti,mene_zname,vysoka,4,False,9,11,plodova_cast,False,suseni_skladovani,medium,False,False,True,False,False,bezny
R070,Prunus domestica,slivoň švestka / slíva,"pěstovaná, velmi běžná",plod,potrava a pití,čerstvé plody / sušení / povidla,mainstream,vysoká,"sady, zahrady, meze se starými stromy, podhůří",VIII–X,zralý plod,"čerstvé plody, sušení, povidla, koláče, omáčky","výživa, vysoká zpracovatelnost, tradiční podzimní surovina",sladký až sladkokyselý,silně ovocný,neaplikovatelné,Přezrálé či nahnilé plody se kazí velmi rychle; vosy a plísně.,Vyšší množství může projímavě působit; jinak běžná potravina.,Sběr podle vlastnictví a hygieny lokality.,středoevropská ovocnářská tradice,B,S30,,V českém prostředí jedna z nejdůležitějších zpracovatelných ovocnin.,70,False,False,potrava_a_piti,mainstream,vysoka,4,False,8,10,plodova_cast,False,zavarenina,medium,False,False,True,False,False,velmi_bezny
R071,Prunus domestica,slivoň švestka / slíva,"pěstovaná, velmi běžná",plod,potrava a pití,fermentované zpracování / ocet / kvašený základ,méně známé,vysoká,"sady, zahrady",VIII–X,zralý až přezrálý plod,"kvašení přebytků, ovocný ocet, tekuté základy pro další zpracování",uchování nadúrody a kyselé kuchyňské využití,"sladký, plný, lehce tříslovitý",ovocný až jemně vinný,neaplikovatelné,Nedostatečná hygiena zvyšuje riziko zkažení; přezrálé plody mohou být kontaminované.,U alkoholických produktů běžná omezení; jinak bez typických interakcí.,Jen z legálně získaných plodů; preferovat vlastní stromy.,historická praxe zpracování ovoce,C,S30,,Zařazeno jako tradiční způsob využití přebytků.,71,False,False,potrava_a_piti,mene_zname,vysoka,3,False,8,10,plodova_cast,False,ocet,medium,False,False,True,False,False,velmi_bezny
R072,Prunus avium,třešeň obecná,"pěstovaná i zplaňující, běžná",plod,potrava a pití,čerstvé plody / sušení / kompot,mainstream,vysoká,"zahrady, sady, aleje, okraje obcí",VI–VII,zralý plod,"čerstvá konzumace, kompotování, sušení, pečení",časné letní ovoce s vysokou kulinární hodnotou,sladký,ovocný,neaplikovatelné,"Červivost, ptáci a rychlé přezrávání; pecky nepožívat.",Běžná potravina; při velkém množství možné zažívací obtíže.,Sběr podle vlastnictví stromu a přístupu.,středoevropská ovocnářská tradice,B,S30,,,72,False,False,potrava_a_piti,mainstream,vysoka,4,False,6,7,plodova_cast,False,zavarenina,medium,False,False,True,True,False,bezny
R073,Prunus cerasus,višeň obecná,"pěstovaná, běžná",plod,potrava a pití,sirup / kompot / zavařeniny,mainstream,vysoká,"zahrady, staré sady, dvory",VI–VII,zralý plod,"sirupy, kompoty, džemy, pečení",výrazná kyselá složka do nápojů a zavařenin,kyselý až sladkokyselý,"ovocný, výrazný",neaplikovatelné,Pecky nepožívat; rychlá kazivost po sklizni.,Při citlivosti na kyselé ovoce opatrně; jinak běžná potravina.,Sběr běžně legální jen z vlastních nebo povolených stromů.,středoevropská ovocnářská tradice,B,S30,,,73,False,False,potrava_a_piti,mainstream,vysoka,4,False,6,7,plodova_cast,False,sirup_koncentrat,medium,False,False,True,False,False,bezny
R074,Ribes nigrum,rybíz černý,"pěstovaný, běžný",plod,potrava a pití,čerstvé plody / sirup / džem,mainstream,vysoká,"zahrady, drobné ovocné výsadby",VII–VIII,zralý plod,"čerstvá konzumace, sirupy, džemy, mražení","výrazná chuť, zpracovatelnost, letní vitamínová surovina",výrazně kyselý až aromaticky trpký,intenzivně rybízový,neaplikovatelné,Silná barvivost; rychlá měknutí po sklizni.,Běžná potravina; u citlivých osob možné podráždění žaludku ve vyšších dávkách.,Sběr z pěstovaných zdrojů bez problémů.,středoevropská ovocnářská a kuchyňská praxe,B,S30,S24,List má EMA monografii; plod je zde veden hlavně potravně.,74,False,False,potrava_a_piti,mainstream,vysoka,4,True,7,8,plodova_cast,False,sirup_koncentrat,medium,False,False,True,False,False,bezny
R075,Ribes nigrum,rybíz černý,"pěstovaný, běžný",list,fytoterapie,nálev / tradiční bylinný přípravek,méně známé,vysoká,"zahrady a plantáže; sběr z čistých, neošetřených keřů",V–VII,plně vyvinutý zdravý list,sušení listu na nálev; tradiční užití při drobných močových a kloubních obtížích,tradiční podpůrná fytoterapie,"lehce svíravý, zelený","slabě rybízový, zelený",neaplikovatelné,Nezaměňovat plodové využití s léčivým listem; sbírat jen neošetřené listy.,Nepoužívat při stavech vyžadujících omezení příjmu tekutin; při přetrvávání potíží vyšetřit lékařem.,Sběr z vlastních/povolených keřů; v praxi hlavně pěstované zdroje.,EMA monografie,A,S24,,,75,False,False,fytoterapie,mene_zname,vysoka,5,False,5,7,listova_nadzemni_cast,False,caj_nalev,medium,False,False,True,False,False,bezny
R076,Ribes rubrum,rybíz červený / bílý,"pěstovaný, běžný",plod,potrava a pití,želé / sirup / džem,mainstream,vysoká,"zahrady, drobné ovocné výsadby",VI–VIII,zralý plod,"čerstvá konzumace, želé, sirup, mražení",letní kyselé ovoce vhodné i pro konzervaci,kyselý až sladkokyselý,svěže ovocný,neaplikovatelné,Rychlé mačkání a ztráta kvality po sklizni.,Běžná potravina; u citlivého žaludku opatrně ve vyšších dávkách.,Sběr z pěstovaných zdrojů bez problémů.,středoevropská kuchyňská praxe,B,S30,,,76,False,False,potrava_a_piti,mainstream,vysoka,4,False,6,8,plodova_cast,False,sirup_koncentrat,medium,False,False,True,False,False,bezny
R077,Ribes uva-crispa,angrešt,"pěstovaný, běžný",plod,potrava a pití,čerstvé plody / kompot / džem,mainstream,vysoká,"zahrady, drobné sady",VII–VIII,zralý plod,"čerstvá konzumace, kompoty, džemy, koláče",letní ovoce s dobrou kyselostí i sladkostí,kyselý až sladký,ovocný,neaplikovatelné,Trny komplikují sběr; přezrálé plody se snadno mačkají.,Běžná potravina bez zvláštních interakcí.,Pěstovaný zdroj; sběr bez zvláštních omezení.,středoevropská kuchyňská praxe,B,S30,,,77,False,False,potrava_a_piti,mainstream,vysoka,4,False,7,8,plodova_cast,False,zavarenina,medium,False,False,True,False,False,bezny
R078,Hippophae rhamnoides,rakytník řešetlákový,"pěstovaný i zdomácnělý, lokálně běžný",plod,potrava a pití,šťáva / pyré / sirup,mainstream,vysoká,"zahrady, remízky, lehčí půdy, slunná stanoviště",VIII–X,plně vybarvený plod,"lisování na šťávu, pyré, sirupy, želé",intenzivní kyselá surovina pro nápoje a zpracování,"výrazně kyselý, pryskyřičně citrusový",silně ovocný až citrusový,neaplikovatelné,Trnitý sběr; silná kyselost a velmi rychlé mačkání plodů.,U citlivého žaludku opatrně kvůli kyselosti; jinak převážně potravní použití.,Sběr obvykle z pěstovaných zdrojů; v krajině ověřit vlastnictví.,středoevropská pěstitelská a kuchyňská praxe,B,S30,,,78,False,False,potrava_a_piti,mainstream,vysoka,4,False,8,10,plodova_cast,False,sirup_koncentrat,medium,False,True,True,False,False,lokalne_bezny
R079,Cydonia oblonga,kdoule obecná,"pěstovaná, lokálně běžná",plod,potrava a pití,želé / marmeláda / sirup / pečení,méně známé,vysoká,"zahrady, staré sady, teplejší polohy",IX–XI,plně vyzrálý aromatický plod,"tepelná úprava na želé, pastu, sirup, pečené ovoce","aromatická, silně voňavá surovina pro konzervaci","svíravý syrový, po úpravě sladkokyselý",výrazně květově ovocný,neaplikovatelné,Syrová bývá tvrdá a trpká; chmýří na slupce může dráždit.,Běžně potravní druh; semena samostatně neužívat bez znalosti dávky.,Sběr z pěstovaných zdrojů; v ČR spíše zahrady.,středoevropská ovocnářská tradice,B,S30,,Silně voňavý plod dobře propojuje ovoce a aromatickou vrstvu.,79,False,False,potrava_a_piti,mene_zname,vysoka,4,False,9,11,plodova_cast,False,sirup_koncentrat,medium,False,False,True,False,False,lokalne_bezny
R080,Mespilus germanica,mišpule obecná,"pěstovaná, vzácnější",plod,potrava a pití,uleželé plody / želé / pyré,téměř zapomenuté,střední,"staré zahrady, sbírkové sady, teplejší polohy",X–XI,plod po přejití chladem nebo odležení,"konzumace po změknutí (bletting), želé, pyré, povidlové hmoty",zapomenuté ovoce s vysokou gastronomickou a historickou hodnotou,"sladkokyselý, jablečně datlový po odležení","ovocný, kořenitější",neaplikovatelné,Nezralé plody jsou tvrdé a výrazně trpké; užitná fáze přichází až po odležení.,Běžně potravní použití; nepoužívat nahnilé plody.,Prakticky jen z pěstovaných stromů.,přehledový odborný zdroj k zapomenutému ovoci,B,S25,,,80,False,False,potrava_a_piti,temer_zapomenute,stredni,4,False,10,11,plodova_cast,False,zavarenina,medium,False,False,True,False,False,vzacnejsi
R081,Sorbus domestica,oskeruše,"původní i pěstovaná, velmi lokální",plod,potrava a pití,plody po uleželosti / mošt / povidla,téměř zapomenuté,střední,"jižní Morava, staré sady, vinohrady, teplé svahy",IX–XI,plod po změknutí nebo odležení,"plody se nechávají dojít, pak se jedí, lisují nebo vaří na husté výrobky","vysoce tradiční, dnes znovu objevované moravské ovoce","zpočátku trpký, po odležení sladký a moučnatější","ovocný, medový",neaplikovatelné,Nezralé plody jsou tříslovité a nepříjemné; druh je lokální a výnos není vysoký.,Běžně potravní; hlavní omezení je dostupnost a správná zralost.,Ve volné krajině ověřit lokalitu a vlastnictví; nepoškozovat vzácné stromy.,český odborně-popularizační zdroj + tradiční regionální praxe,B,S26,,,81,False,False,potrava_a_piti,temer_zapomenute,stredni,4,False,9,11,plodova_cast,False,zavarenina,medium,True,False,True,False,False,neurceno
R082,Morus alba / Morus nigra,moruše bílá / černá,"pěstovaná, lokálně zplaňující",plod,potrava a pití,čerstvé plody / sirup / sušení,méně známé,vysoká,"zahrady, staré dvory, teplé obce",VI–VIII,zralý měkký plod,"čerstvá konzumace, sirup, sušení, lehké kvašení",sladké ovoce s krátkou trvanlivostí a vysokou čerstvou hodnotou,sladký,medově ovocný,neaplikovatelné,Plody se snadno rozmačkají a barví; rychle podléhají zkáze.,Běžná potravina bez typických interakcí.,Sběr z pěstovaných či povolených stromů.,středoevropská kuchyňská praxe,C,S30,,,82,False,False,potrava_a_piti,mene_zname,vysoka,3,False,6,8,plodova_cast,False,sirup_koncentrat,medium,False,False,True,True,False,neurceno
R083,Fragaria × ananassa,jahodník zahradní,"pěstovaný, velmi běžný",plod,potrava a pití,čerstvé plody / džem / sirup,mainstream,vysoká,"zahrady, pole, samozásobitelské záhony",V–VII,zralý plod,"čerstvá konzumace, džem, sirup, mražení","časné letní ovoce, široká kuchyňská využitelnost",sladký až sladkokyselý,intenzivně jahodový,neaplikovatelné,Velmi rychlá kazivost; vysoké riziko pesticidních reziduí u neznámých zdrojů.,Alergie u citlivých osob; jinak běžná potravina.,Sběr prakticky jen z pěstovaných zdrojů.,běžná kuchyňská a zahradní praxe,B,S30,,,83,False,False,potrava_a_piti,mainstream,vysoka,4,False,5,7,plodova_cast,False,sirup_koncentrat,medium,False,False,True,False,False,velmi_bezny
R084,Vitis vinifera,réva vinná,"pěstovaná, běžná v teplejších oblastech",plod,potrava a pití,čerstvé hrozny / mošt / ocet,mainstream,vysoká,"vinice, pergoly, zahrady, jižní Morava a teplejší polohy",VIII–X,zralý hrozen,"čerstvá konzumace, lisování na mošt, kvašení, ocet",ovoce i nápojový zdroj se silnou regionální tradicí,sladký,ovocný až vinný,neaplikovatelné,"Vosy, plísně a postřiky; rychlé kažení po poranění.",Běžná potravina; u kvašených/alkoholických produktů samostatná omezení.,Sběr podle vlastnictví a režimu vinice.,středoevropská ovocnářská tradice,B,S30,,,84,False,False,potrava_a_piti,mainstream,vysoka,4,False,8,10,plodova_cast,False,ocet,medium,False,False,True,False,False,bezny
R085,Vitis vinifera,réva vinná,"pěstovaná, běžná v teplejších oblastech",list,potrava,nakládané vinné listy / globální analog,globální analog,střední,"vinice, pergoly, zahrady; sběr z neošetřených mladých listů",V–VI,mladý pružný list,"nakládání do soli nebo láku, plnění listů",rozšíření jedlé části rostliny nad rámec běžné české praxe,"jemně kyselý, zelený",slabý zelený,neaplikovatelné,Sbírat jen neošetřené listy; staré listy jsou tuhé.,Nevhodné z intenzivně chemicky ošetřených vinic.,"Jen z vlastních nebo jasně povolených, neošetřených zdrojů.",globální etnobotanický analog,D,S30,,Zařazeno právě kvůli přenositelné světové znalosti aplikovatelné v ČR.,85,False,False,potrava,globalni_analog,stredni,2,False,5,6,listova_nadzemni_cast,False,ostatni_specialni,low,False,False,True,False,False,bezny
R086,Allium cepa,cibule kuchyňská,"pěstovaná, velmi běžná",cibule,potrava,syrová / vařená / základ kuchyně,mainstream,vysoká,"zahrady, pole, sklepy ze sklizně",VII–III,vyzrálá cibule,"syrová, restovaná, pečená, ve vývarech i salátech",základní zeleninová a aromatická surovina české kuchyně,"sladká po tepelné úpravě, syrově štiplavá",sirně cibulový,neaplikovatelné,Při dlouhém skladování hniloba; syrová může dráždit oči a žaludek.,Běžná potravina; u citlivého žaludku opatrnost syrově.,Pěstovaný zdroj bez zvláštních omezení.,středoevropská kuchyňská praxe,B,S30,,,86,False,False,potrava,mainstream,vysoka,4,False,7,3,podzemni_cast,False,ostatni_specialni,low,False,False,True,False,False,velmi_bezny
R087,Allium cepa,cibule kuchyňská,"pěstovaná, velmi běžná",cibule,fytoterapie,cibulový sirup / tradiční domácí užití,méně známé,vysoká,"zahrady, domácí zásoby",celoročně,vyzrálá cibule,nakrájená cibule se nechá pustit šťávu se cukrem nebo medem,tradiční domácí podpůrné použití při kašli a nachlazení,sladce štiplavý,výrazně cibulový,neaplikovatelné,Domácí sirupy mají krátkou trvanlivost; nejde o sterilní přípravek.,Opatrnost u malých dětí podle použitého sladidla; nenahrazuje vyšetření při těžším průběhu.,Bez právních omezení z pěstovaných zdrojů.,středoevropská etnobotanika,C,S30,,,87,False,False,fytoterapie,mene_zname,vysoka,3,False,1,12,podzemni_cast,False,sirup_koncentrat,medium,False,False,True,False,False,velmi_bezny
R088,Allium sativum,česnek setý,"pěstovaný, velmi běžný",stroužek,potrava,koření / zelenina / fermentace,mainstream,vysoká,"zahrady, pole, domácí zásoby",VII–III,vyzrálá cibule/stroužek,"syrový, vařený, pečený, kvašený nebo nakládaný","silná chuť, konzervační a kulinární funkce","štiplavý, sirný",výrazně česnekový,neaplikovatelné,Silná dráždivost syrového česneku; rychlé plesnivění při špatném skladování.,Ve vyšších dávkách může dráždit trávení a může se sčítat s antikoagulačním účinkem léků.,Pěstovaný zdroj bez zvláštních omezení.,středoevropská kuchyňská praxe + obecná bezpečnostní tradice,B,S30,,,88,False,False,potrava,mainstream,vysoka,4,False,7,3,podzemni_cast,False,koreni_dochucovadlo,medium,False,False,True,False,False,velmi_bezny
R089,Allium sativum,česnek setý,"pěstovaný, velmi běžný",stroužek,fytoterapie,tradiční domácí užití / macerát / sirup,méně známé,vysoká,domácí zásoby z pěstování nebo nákupu,celoročně,vyzrálý stroužek,"syrové malé dávky, macerát v medu či oleji, domácí sirupové formy",tradiční podpůrné domácí použití při respiračních a zimních potížích,ostře štiplavý,silně česnekový,neaplikovatelné,Syrový koncentrovaný česnek může dráždit žaludek i kůži.,Opatrnost s antikoagulancii a před operacemi; nejde o standardizovanou léčbu.,Bez právních omezení.,středoevropská etnobotanika + obecná bezpečnostní tradice,C,S30,,,89,False,False,fytoterapie,mene_zname,vysoka,3,False,1,12,podzemni_cast,False,sirup_koncentrat,medium,False,False,True,False,False,velmi_bezny
R090,Armoracia rusticana,křen selský,"pěstovaný i zplaňující, běžný",kořen,potrava,kořenící zelenina / čerstvý křen,mainstream,vysoká,"zahrady, okraje starých usedlostí, zplaňující porosty",X–III,vyzrálý kořen v době vegetačního klidu,"strouhaný čerstvý křen, omáčky, přílohy, nakládání",štiplavé kořenící použití a zimní kuchyňský doplněk,"silně pálivý, štiplavý",ostře křenový,neaplikovatelné,"Silně dráždí oči, sliznice a citlivý žaludek.",Nevhodný ve větších dávkách při vředových či silně podrážděných stavech GIT.,Běžný sběr z pěstovaných či zdomácnělých porostů; řešit vlastnictví.,středoevropská kuchyňská praxe,B,S30,,,90,False,False,potrava,mainstream,vysoka,4,False,10,3,podzemni_cast,False,koreni_dochucovadlo,medium,False,False,True,True,False,bezny
R091,Armoracia rusticana,křen selský,"pěstovaný i zplaňující, běžný",kořen,fytoterapie,sirup / med / obklad,méně známé,vysoká,"zahrady, staré usedlosti",X–III,čerstvý kořen,"strouhaný křen s medem/cukrem, zevní krátkodobý obklad",tradiční domácí podpůrné použití při nachlazení a lokálním prohřátí,velmi pálivý,silně křenový,neaplikovatelné,Zevně může silně dráždit kůži; vnitřně ve větším množství dráždí žaludek.,"Opatrnost u dětí, citlivé kůže a gastritid; nejde o standardizovanou léčbu.",Bez právních omezení z pěstovaných zdrojů.,středoevropská etnobotanika,C,S30,,,91,False,False,fytoterapie,mene_zname,vysoka,3,False,10,3,podzemni_cast,False,sirup_koncentrat,medium,False,False,True,True,False,bezny
R092,Brassica oleracea var. capitata,zelí hlávkové,"pěstované, velmi běžné",list,potrava,syrové / vařené / dušené,mainstream,vysoká,"zahrady, pole, sklepy ze sklizně",VI–III,vyzrálá hlávka,"saláty, polévky, dušení, plněné listy",základní zelenina s dobrou skladovatelností,svěže zelený až nasládlý po úpravě,"zelný, slabší",neaplikovatelné,Při dlouhém skladování hniloba; syrové může více nadýmat.,Běžná potravina; u citlivého trávení opatrnost u velkých syrových dávek.,Pěstovaný zdroj bez zvláštních omezení.,středoevropská kuchyňská praxe,B,S30,,,92,False,False,potrava,mainstream,vysoka,4,False,6,3,listova_nadzemni_cast,False,ostatni_specialni,low,False,False,True,False,False,velmi_bezny
R093,Brassica oleracea var. capitata,zelí hlávkové,"pěstované, velmi běžné",list / zkvašená hmota,potrava a pití,kysané zelí / zelné šťávy,mainstream,vysoká,"zahrady, pole, domácí sklepy a zpracování",IX–III,čerstvá hlávka vhodná ke kvašení,"krájení, solení a mléčné kvašení; využití i láku/šťávy","zimní konzervace, kyselá příloha, nápojový lák jako vedlejší produkt","kyselý, svěží",kyselkavě zelný,neaplikovatelné,Vyžaduje čisté kvašení; špatně vedené kvašení vede ke zkáze.,Vyšší obsah soli; u citlivých osob opatrnost s velmi kyselým lákem.,Běžné domácí zpracování bez právních omezení.,středoevropská kuchyňská praxe,B,S30,S28,Fermentovaná vrstva zeleniny byla v předchozí verzi slabá.,93,False,False,potrava_a_piti,mainstream,vysoka,4,True,9,3,listova_nadzemni_cast,False,ostatni_specialni,low,False,False,True,False,False,velmi_bezny
R094,Daucus carota subsp. sativus,mrkev obecná,"pěstovaná, velmi běžná",kořen,potrava,syrová / vařená / kvašená,mainstream,vysoká,"zahrady, pole, sklepy ze sklizně",VI–III,vyzrálý kořen,"syrová, pečená, vařená, do polévek i fermentace",základní sladší kořenová zelenina,jemně sladký,"slabě kořenový, mrkvový",neaplikovatelné,U starých kořenů dřevnatění; u neznámých zdrojů rezidua z půdy.,Běžná potravina; při extrémně vysokém příjmu možné karotenové zabarvení kůže.,Pěstovaný zdroj bez zvláštních omezení.,běžná kuchyňská a zahradní praxe,B,S30,,,94,False,False,potrava,mainstream,vysoka,4,False,6,3,podzemni_cast,False,fermentace,medium,False,False,True,False,False,velmi_bezny
R095,Beta vulgaris,řepa červená,"pěstovaná, velmi běžná",kořen,potrava a pití,vařená / pečená / kvas,mainstream,vysoká,"zahrady, pole, sklepy ze sklizně",VII–III,vyzrálý kořen,"vaření, pečení, nakládání, případně kvašený kvas",výživná kořenová zelenina s možností nápojového využití,zemitě sladký,"zemitý, řepný",neaplikovatelné,Silně barví; při špatném skladování měkne a plesniví.,Běžná potravina; u citlivých osob může kvas nebo velké dávky nadýmat.,Pěstovaný zdroj bez zvláštních omezení.,středoevropská kuchyňská praxe + globální analog,B,S30,,Kvas je zařazen jako přenositelný středovýchodoevropský/ východoevropský nápojový přesah.,95,False,False,potrava_a_piti,mainstream,vysoka,4,False,7,3,podzemni_cast,False,ostatni_specialni,low,False,False,True,False,False,velmi_bezny
R096,Pastinaca sativa,pastinák setý,"pěstovaný, lokálně běžný",kořen,potrava,pečený / polévky / pyré,méně známé,vysoká,"zahrady, pole, kořenová zelenina ve sklepích",IX–III,vyzrálý kořen,"pečení, polévky, pyré, chipsy",sladší kořenová zelenina; v ČR znovu objevovaná,"sladký, kořenový",jemně kořenový,neaplikovatelné,Záměna s planými miříkovitými druhy při laickém sběru ze semene/planě; z pěstování nízké riziko.,Běžná potravina; u planých částí rodu by byla nutná opatrnost.,Bez problémů z pěstovaných zdrojů.,středoevropská kuchyňská praxe,B,S30,,Zařazeno jako „navracející se“ starší zelenina.,96,False,False,potrava,mene_zname,vysoka,4,False,9,3,podzemni_cast,False,ostatni_specialni,low,False,False,True,False,False,lokalne_bezny
R097,Brassica rapa subsp. rapa,vodnice / tuřín,"pěstovaná, dnes spíše méně běžná",bulva/kořen,potrava,vařená / pečená / kaše,téměř zapomenuté,střední,"zahrady, drobné hospodářství, historické a regionální pěstování",IX–III,vyzrálá bulva,"vaření, pečení, kaše, polévky","historicky významná, dnes podceněná zimní zelenina",jemně štiplavý až nasládle brukvovitý,slabě brukvový,neaplikovatelné,Přerostlé bulvy dřevnatí; kvalita závisí na odrůdě a mladosti.,Běžná potravina; při velkém množství syrové možné nadýmání.,Pěstovaný zdroj bez zvláštních omezení.,středoevropský etnobotanický analog,B,S28,,,97,False,False,potrava,temer_zapomenute,stredni,4,False,9,3,podzemni_cast,False,ostatni_specialni,low,False,False,True,False,False,bezny
R098,Brassica rapa subsp. rapa,vodnice / tuřín,"pěstovaná, dnes spíše méně běžná",bulva/kořen,potrava a pití,fermentace / středoevropský analog,globální analog,střední,zahrady a drobné hospodářství v chladnějších polohách,IX–III,čerstvá mladší bulva vhodná ke kvašení,krájení a mléčné kvašení podobně jako zelí,zimní konzervace a rozšíření repertoáru fermentované zeleniny,"kyselý, brukvovitý",kyselkavě zeleninový,neaplikovatelné,Nesprávně vedené kvašení se kazí; dnes chybí běžná domácí praxe.,Vyšší sůl a kyselost; jinak běžná fermentovaná zelenina.,Pěstovaný zdroj bez zvláštních omezení.,středoevropský etnobotanický analog,D,S28,,Přidáno schválně jako zapomenutá fermentační větev zeleniny.,98,False,False,potrava_a_piti,globalni_analog,stredni,2,False,9,3,podzemni_cast,False,fermentace,medium,False,False,True,False,False,bezny
R099,Helianthus tuberosus,topinambur hlíznatý,"pěstovaný i zplaňující, lokálně běžný",hlíza,potrava,pečený / polévka / pyré,méně známé,vysoká,"zahrady, okraje polí, staré záhony, zplaňující porosty",X–III,vyzrálá hlíza po zatažení natě,"pečení, polévky, pyré, restování",odolná hlíznatá zelenina vhodná pro české klima,"sladký, oříškový",slabý,neaplikovatelné,Při větších dávkách může více nadýmat; hlízy se hůře skladují mimo půdu.,Omezení hlavně gastrointestinální tolerance u vyšších dávek.,Pěstovaný či zdomácnělý zdroj; řešit vlastnictví porostu.,agronomický přehled + praktická potravní použitelnost,B,S29,,,99,False,False,potrava,mene_zname,vysoka,4,False,10,3,podzemni_cast,False,cerstva_potrava,medium,False,False,True,True,False,lokalne_bezny
